,BHK,Baths,Total_Area_SqFt,BuiltUp_Area_Sqm,Price_per_SqFt,Type_of_Land,Location,Price
0,2,2,959,89,4171,Apartment,Maruthi Nagar,4200000
1,11,11,1200,111,15000,Bedroom House,8th Phase JP Nagar,18000000
2,3,3,2189,203,10507,Apartment,CV Raman Nagar,23000000
3,2,2,1165,108,5579,Apartment,CV Raman Nagar,6500000
4,11,11,1973,183,8750,Bedroom House,Chikkalasandra,35000000
5,5,5,3500,325,21428,Bedroom House,Chandra Layout,75000000
6,3,3,2300,214,13043,Apartment,Spencer Road,30000000
7,2,2,1150,107,5391,Apartment,CV Raman Nagar,6200000
8,5,5,3500,325,3429,Bedroom House,Suragajakkanahalli,14000000
9,2,2,1065,99,6568,Apartment,6th Block Jayanagar,6995000
10,3,3,922,86,7049,Apartment,Sarjapur Road,6500000
11,3,3,2280,212,9868,Apartment,3rd Phase JP Nagar,22500000
12,2,2,1200,111,6583,Apartment,Sahakara Nagar,7900000
13,3,3,2050,190,7804,Apartment,Thanisandra,16000000
14,2,2,1200,111,6000,Bedroom House,Bannerghatta Road,7200000
15,12,12,1200,111,20916,Bedroom House,Subbannaiah Palya,25099999
16,2,2,1483,138,10114,Bedroom House,Sarjapur Road,15000000
17,4,4,2600,242,8653,Bedroom House,Horamavu,22500000
18,0,0,3675,341,7020,Residential land / Plot,Kengeri,25800000
19,6,6,2400,223,6562,Bedroom House,Mico Layout,42000000
20,9,9,4000,372,5500,Bedroom House,OMBR Layout,22000000
21,2,2,1165,108,6008,Apartment,Jalahalli East,7000000
22,0,0,1200,111,6500,Residential land / Plot,Devanahalli,7800000
23,2,2,1205,112,7219,Apartment,Horamavu,8700000
24,3,3,1612,150,6856,Apartment,Budigere Cross,8200000
25,0,0,1800,167,7778,Residential land / Plot,Hennur Road,14000000
26,3,3,1429,133,7067,Apartment,Kanaka Nagar,10100000
27,3,3,1704,158,7200,Apartment,Vijayanagar,12500000
28,3,3,1314,122,8371,Apartment,Kanakapura Road,11000000
29,4,4,4000,372,7500,Bedroom House,Chandapura,26000000
30,2,2,1100,102,6363,Apartment,Indira Nagar,7000000
31,0,0,2293,213,4361,Residential land / Plot,Sarjapur Road,10000000
32,2,2,1200,111,6000,Apartment,Hebbal,7200000
33,3,3,1645,153,6686,Apartment,Whitefield,11000000
34,3,3,1441,134,4718,Apartment,Sarjapur Road,6800000
35,0,0,2400,223,3000,Residential land / Plot,ITC Factory,7200000
36,3,3,800,74,16250,Bedroom House,RT Nagar,13000000
37,2,2,1090,101,8073,Apartment,Kanakapura Road,8800000
38,6,6,1200,111,15416,Bedroom House,T Dasarahalli,18500000
39,0,0,3000,279,3000,Residential land / Plot,Devanahalli,9000000
40,1,1,1800,167,8333,Bedroom House,Marathahalli,16000000
41,3,3,1750,163,5142,Apartment,Hebbal,9000000
42,2,2,1340,124,5223,Apartment,Kanakapura Road,7000000
43,2,2,1233,115,7299,Apartment,"Maruthi Nagar, Malleshpalya",9000000
44,3,3,1252,116,5990,Apartment,Doddanagamangala,7000000
45,0,0,1485,138,2246,Residential land / Plot,Kyalasanahalli,3200000
46,3,3,1325,123,5283,Apartment,Kengeri,6500000
47,3,3,1705,158,5278,Apartment,Yelahanka,9000000
48,3,3,1300,121,7615,Apartment,Nagarbhavi,9900000
49,0,0,2400,223,6000,Residential land / Plot,Byadarahalli,14400000
50,3,3,2505,233,11632,Bedroom House,Budigere Cross,34200000
51,5,5,1500,139,16666,Bedroom House,Kengeri Satellite Town Stage 2,25000000
52,2,2,950,88,6526,Apartment,Electronic City,6200000
53,3,3,1530,142,9281,Bedroom House,Mathikere,14200000
54,3,3,2300,214,9782,Apartment,Annapurneshwari Nagar,22500000
55,0,0,1200,111,9500,Residential land / Plot,Whitefield,11399999
56,3,3,1650,153,8484,Apartment,Jalahalli,13000000
57,0,0,1800,167,4200,Residential land / Plot,Abbigere,7559999
58,4,4,1200,111,12500,Bedroom House,Rajarajeshwari Nagar,15000000
59,6,6,1200,111,15833,Bedroom House,Surabhi Layout,19000000
60,2,2,940,87,4574,Apartment,Bommanahalli,4300000
61,5,5,2400,223,24750,Bedroom House,Kasturi Nagar,59400000
62,3,3,1500,139,5866,Apartment,Electronic City,8800000
63,14,14,1265,118,17786,Bedroom House,Hongasandra,22500000
64,6,0,1200,111,8500,Residential land / Plot,Banashankari Stage 6,10200000
65,3,3,1590,148,7547,Apartment,Hennur Road,12000000
66,8,0,1500,139,13333,Residential land / Plot,8th Phase JP Nagar,20000000
67,3,3,2119,197,11703,Apartment,JP Nagar,24800000
68,6,6,1200,111,6486,Bedroom House,Uttarahalli,24000000
69,5,5,1950,181,6071,Bedroom House,Banashankari Stage 3,42500000
70,0,0,7025,653,2989,Residential land / Plot,Sadahalli,21000000
71,2,2,1368,127,5482,Apartment,Kudlu Gate,7500000
72,2,2,1100,102,6781,Apartment,Cox Town,7459999
73,3,3,1600,149,7500,Apartment,9th Phase JP Nagar,12000000
74,2,2,1119,104,5272,Apartment,Kengeri Satellite Town,5900000
75,2,2,920,85,5217,Apartment,Rajapura,4800000
76,3,3,1725,160,5420,Apartment,Jakkur,9500000
77,2,2,1263,117,6730,Apartment,Thanisandra,8500000
78,2,2,746,69,5093,Apartment,Mallasandra,3800000
79,0,0,1200,111,6833,Residential land / Plot,Jakkur,8200000
80,2,2,959,89,6256,Apartment,Uttarahalli,5500000
81,2,2,1060,98,9433,Apartment,Jayanagar,10000000
82,3,3,1200,111,10000,Bedroom House,MS Pallya,12000000
83,3,3,2325,216,5376,Bedroom House,Chikka Tirupathi,12500000
85,6,6,3000,279,11666,Bedroom House,Jalahalli West,35000000
86,3,3,1241,115,5640,Apartment,Sri Balaji Krupa Layout,7000000
87,2,2,1375,128,5019,Apartment,Jakkur,6900000
88,6,6,5000,465,6400,Apartment,Yelahanka New Town,32000000
89,2,2,1307,121,6044,Apartment,Tata Nagar,7900000
90,2,2,1285,119,11673,Apartment,Varthur Road,14000000
91,2,2,1250,116,3840,Apartment,Ramamurthy Nagar,4800000
92,0,0,1300,121,6000,Residential land / Plot,Gollarapalya Hosahalli,7800000
93,4,4,1500,139,27666,Bedroom House,Malleshwaram,41500000
94,2,2,1122,104,5525,Apartment,Kalkere,6200000
95,4,4,1200,111,12000,Bedroom House,Tumkur Road,14400000
96,3,3,1450,135,4690,Apartment,JP Nagar,6800000
97,11,11,1350,125,18518,Bedroom House,Kothanur,25000000
98,0,0,2400,223,7300,Residential land / Plot,Upadhyaya Layout,17500000
99,2,2,1287,120,4817,Apartment,Rayasandra,6200000
100,3,3,2075,193,8000,Apartment,Kaikondrahalli,16600000
101,0,0,1199,111,2334,Residential land / Plot,Bisuvanahalli,2800000
102,7,7,5400,502,35185,Bedroom House,3rd Phase JP Nagar,1900000
103,3,3,65340,6070,1837,Bedroom Farm house,Bannerghatta,1200000
104,12,12,1360,126,8720,Bedroom House,Sahakara Nagar,45000000
105,3,3,2600,242,10346,Bedroom House,Attibele,24900000
106,3,3,2300,214,6304,Bedroom House,Jnanabharathi Layout,14500000
107,2,2,907,84,8820,Apartment,Kanakapura Road,8000000
108,2,2,1238,115,7269,Apartment,Jayamahal,9000000
109,8,8,1800,167,9444,Bedroom House,"NRI Layout,Ramuthy nagar",17000000
110,3,3,1700,158,4648,Apartment,Whitefield,7900000
111,3,3,1239,115,5972,Apartment,Sarjapur Road,7400000
112,2,2,814,76,5159,Apartment,Tumkur Road,4200000
113,2,2,1340,124,7462,Apartment,Nandi Durga Road,10000000
114,4,4,2600,242,10000,Apartment,Cooke Town,32500000
115,12,12,3000,279,10000,Bedroom House,Electronic City,30000000
116,2,2,1160,108,5344,Apartment,Tejaswini Nagar,6200000
117,2,2,901,84,7103,Apartment,Kanakapura,6400000
118,3,3,1575,146,6000,Apartment,Devarachikkanahalli,9500000
119,2,2,1261,117,6582,Apartment,Yelahanka New Town,8300000
120,3,3,1117,104,9846,Apartment,Hosahalli,11000000
121,3,3,1345,125,5947,Apartment,Sahakara Nagar,8000000
122,2,2,1150,107,7826,Apartment,Domlur,9000000
123,3,3,1590,148,8176,Apartment,Hennur Road,13000000
124,3,3,2012,187,11182,Apartment,HBR Layout,22500000
125,2,2,1270,118,5511,Apartment,Yelahanka,7000000
126,3,3,1200,111,11666,Apartment,Koramangala,14000000
127,3,3,1650,153,7575,Apartment,Sampangi Rama Nagar,12500000
128,0,0,1500,139,2500,Residential land / Plot,IVC Road,3900000
129,2,2,1130,105,8584,Apartment,Bannerghatta Road,9700000
130,2,2,1004,93,7238,Bedroom House,Horamavu,7600000
131,0,0,1200,111,6916,Residential land / Plot,Gattahalli,8300000
132,3,3,4000,372,20000,Bedroom House,VV Puram,70000000
133,0,0,3293,306,1750,Residential land / Plot,Nelamangala,5763000
134,2,2,1038,96,2890,Apartment,Bommanahalli,3000000
135,3,3,1320,123,4469,Apartment,Hoodi,5900000
136,4,4,2000,186,8750,Bedroom House,Kaggadasapura,17500000
137,2,2,1000,93,10900,Apartment,Near International Airport,10900000
138,3,3,2045,190,7579,Apartment,Kothanur,15500000
139,3,3,1335,124,6516,Apartment,Kodihalli,8700000
140,2,2,1082,101,5914,Apartment,Mallasandra,6400000
141,0,0,1500,139,2500,Residential land / Plot,Kanakapura Road,3750000
142,13,13,1200,111,20000,Bedroom House,Belathur,25000000
143,2,2,1200,111,12500,Bedroom House,Naganathapura,15000000
144,3,3,1520,141,3618,Apartment,Near International Airport,5500000
145,3,3,1197,111,4177,Apartment,Chandapura,5000000
146,0,0,1200,111,19583,Residential land / Plot,Rajajinagar,23500000
147,3,3,1140,106,5439,Bedroom House,Sunkadakatte,6200000
148,2,2,940,87,9255,Apartment,Mysore Road,8700000
149,4,4,2879,267,9725,Bedroom House,Jeevan bima nagar,28000000
150,2,2,1130,105,6283,Apartment,EPIP Zone,7100000
151,0,0,3600,334,10000,Residential land / Plot,Kasavanhalli,36000000
152,7,7,1200,111,20754,Bedroom House,KR Puram,22000000
153,9,9,2250,209,6888,Apartment,Teachers Colony,15500000
154,4,4,2180,203,8211,Bedroom House,Hessarghatta,17900000
155,0,0,2400,223,4500,Residential land / Plot,Yelahanka,10800000
156,2,2,1050,98,4190,Apartment,Hosa Road,4400000
157,2,2,711,66,4153,Apartment,Chandapura,2550000
158,3,3,1200,111,7500,Bedroom House,Bendiganahalli,9000000
159,9,9,2950,274,7796,Bedroom House,Hennur Bande,23000000
160,3,3,1879,175,6386,Apartment,Yelahanka New Town,12000000
161,2,2,1330,124,4360,Apartment,BTM 1st Stage,5800000
162,0,0,1976,184,4554,Residential land / Plot,Devanahalli,9000000
163,0,0,1326,123,5279,Residential land / Plot,KR Puram,7000000
164,2,2,1135,105,5726,Apartment,Yelahanka,6500000
165,2,2,1070,99,5794,Apartment,Yelahanka,6200000
166,2,2,1115,104,5829,Apartment,Yelahanka,6500000
167,0,0,1200,111,3750,Residential land / Plot,Anekal,4500000
168,3,3,1340,124,5000,Apartment,Uttarahalli,6700000
169,0,0,1165,108,6437,Residential land / Plot,Kothanur,7500000
170,4,4,1260,117,23809,Bedroom House,Amarjyothi Colony,30000000
171,3,3,1600,149,25000,Bedroom House,Sudhama Nagar,33300000
172,1,1,780,72,6153,Apartment,Jalahalli East,4800000
173,1,1,1876,174,4550,Bedroom House,Rajarajeshwari Nagar,8500000
174,2,2,1135,105,4405,Apartment,Hoodi,5000000
175,0,0,1200,111,3500,Residential land / Plot,Hoskote,4200000
177,3,3,1410,131,6028,Apartment,Thirumenahalli,8500000
178,4,4,4400,409,7045,Bedroom House,Rajarajeshwari Nagar,31000000
179,6,6,1215,113,27160,Bedroom House,Indira Nagar Stage 2,33000000
180,3,3,1515,141,4950,Apartment,Yelahanka,7000000
181,3,3,1360,126,6029,Apartment,Vidyaranyapura,8200000
182,3,3,1645,153,15197,Apartment,Rayasandra,25500000
183,0,0,5500,511,1098,Residential land / Plot,Sarjapur Road,6040000
184,2,2,1014,94,9500,Apartment,Banashankari Stage I,9500000
185,1,1,500,46,7200,Apartment,Thirupalya,3600000
186,2,2,1025,95,8292,Apartment,Kasturi Nagar,8200000
187,14,14,2660,247,13533,Bedroom House,Horamavu Agara,36000000
188,3,3,1500,139,4533,Apartment,Whitefield,6800000
189,0,0,1158,108,10276,Residential land / Plot,New Thippasandra,11900000
190,2,2,1265,118,6956,Apartment,8th Phase JP Nagar,8800000
191,3,3,1187,110,3538,Apartment,Doddaballapur Road,4200000
192,0,0,1500,139,5300,Residential land / Plot,Byrathi Village,8000000
193,2,2,1187,110,5897,Apartment,Nelamangala,7000000
194,4,4,2427,225,10506,Apartment,Thanisandra Main Road,25500000
195,3,3,1675,156,8059,Apartment,HSR Layout,13500000
196,0,0,3000,279,3200,Residential land / Plot,Hegganahalli,9600000
