,location,price_per_sqft,total_sqft,builtup_area,bhk,price
0,3 BHK Independent Builder Floor in DLF Phase 1,"₹ 14,337/sq.ft.","1,674 sq.ft. (156 sq.m.) Carpet Area",(156 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.4 Cr₹ 14,337/sq.ft."
1,12 Bedroom House in Greater Kailash 2,"₹ 81,481/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",(251 sq.m.) Plot Area,12 BHK16 Baths,"₹ 22 Cr₹ 81,481/sq.ft."
2,Residential land / Plot in A Block Sushant Lok Phase 1,"₹ 36,731/sq.ft.","8,712 sq.ft. (809 sq.m.) Plot Area",(809 sq.m.) Plot Area,,"₹ 32 Cr₹ 36,731/sq.ft."
3,7 Bedroom House in Swaran Nagri,"₹ 6,538/sq.ft.","6,500 sq.ft. (604 sq.m.) Carpet Area",(604 sq.m.) Carpet Area,7 BHK7 Baths,"₹ 4.25 Cr₹ 6,538/sq.ft."
4,3 BHK Independent Builder Floor in DLF Phase 1,"₹ 14,337/sq.ft.","1,674 sq.ft. (156 sq.m.) Carpet Area",(156 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.4 Cr₹ 14,337/sq.ft."
5,12 Bedroom House in Greater Kailash 2,"₹ 81,481/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",(251 sq.m.) Plot Area,12 BHK16 Baths,"₹ 22 Cr₹ 81,481/sq.ft."
6,Residential land / Plot in A Block Sushant Lok Phase 1,"₹ 36,731/sq.ft.","8,712 sq.ft. (809 sq.m.) Plot Area",(809 sq.m.) Plot Area,,"₹ 32 Cr₹ 36,731/sq.ft."
7,7 Bedroom House in Swaran Nagri,"₹ 6,538/sq.ft.","6,500 sq.ft. (604 sq.m.) Carpet Area",(604 sq.m.) Carpet Area,7 BHK7 Baths,"₹ 4.25 Cr₹ 6,538/sq.ft."
8,3 BHK Apartment in Sector 102 Gurgaon,"₹ 7,750/sq.ft.","2,000 sq.ft. (186 sq.m.) Super built-up Area",(186 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.55 Cr₹ 7,750/sq.ft."
9,Residential land / Plot in DLF Phase 3,"₹ 26,007/sq.ft.","4,518 sq.ft. (420 sq.m.) Plot Area",(420 sq.m.) Plot Area,,"₹ 11.75 Cr₹ 26,007/sq.ft."
10,4 BHK Independent Builder Floor in Neeti Bagh,"₹ 36,749/sq.ft.","4,626 sq.ft. (430 sq.m.) Carpet Area",(430 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 17 Cr₹ 36,749/sq.ft."
11,5 BHK Independent Builder Floor in DLF Phase 2,"₹ 28,709/sq.ft.","3,100 sq.ft. (288 sq.m.) Carpet Area",(288 sq.m.) Carpet Area,5 BHK6 Baths,"₹ 8.9 Cr₹ 28,709/sq.ft."
