,location,price_per_sqft,total_sqft,builtup_area,bhk,price
0,Residential land / Plot in Nanakramguda,"₹ 20,000/sq.ft.","1,800 sq.ft. (167 sq.m.) Plot Area",(167 sq.m.) Plot Area,,"₹ 3.6 Cr₹ 20,000/sq.ft."
1,3 Bedroom House in Mokila,"₹ 12,884/sq.ft.","3,609 sq.ft. (335 sq.m.) Plot Area",(335 sq.m.) Plot Area,3 BHK4 Baths,"₹ 4.65 Cr₹ 12,884/sq.ft."
2,Residential land / Plot in Hayathabad,"₹ 3,893/sq.ft.","5,445 sq.ft. (506 sq.m.) Plot Area",(506 sq.m.) Plot Area,,"₹ 2.12 Cr₹ 3,893/sq.ft."
3,Residential land / Plot in Kandlakoya,"₹ 2,410/sq.ft.","435,600 sq.ft. (40469 sq.m.) Plot Area",(40469 sq.m.) Plot Area,,"₹ 100 Cr₹ 2,410/sq.ft."
4,Residential land / Plot in Keesara,"₹ 2,111/sq.ft.","1,800 sq.ft. (167 sq.m.) Plot Area",(167 sq.m.) Plot Area,,"₹ 38 L₹ 2,111/sq.ft."
5,Residential land / Plot in Kadthal,₹ 889/sq.ft.,"1,323 sq.ft. (123 sq.m.) Plot Area",(123 sq.m.) Plot Area,,₹ 11.76 L₹ 889/sq.ft.
6,5 Bedroom House in Dammaiguda,"₹ 9,116/sq.ft.","1,755 sq.ft. (163 sq.m.) Plot Area",(163 sq.m.) Plot Area,5 BHK4 Baths,"₹ 1.6 Cr₹ 9,116/sq.ft."
7,Residential land / Plot in Hayathabad,"₹ 3,893/sq.ft.","5,445 sq.ft. (506 sq.m.) Plot Area",(506 sq.m.) Plot Area,,"₹ 2.12 Cr₹ 3,893/sq.ft."
8,Residential land / Plot in Kandlakoya,"₹ 2,410/sq.ft.","435,600 sq.ft. (40469 sq.m.) Plot Area",(40469 sq.m.) Plot Area,,"₹ 100 Cr₹ 2,410/sq.ft."
9,3 Bedroom House in Mokila,"₹ 12,777/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",(251 sq.m.) Plot Area,3 BHK4 Baths,"₹ 3.45 Cr₹ 12,777/sq.ft."
10,4 Bedroom House in Kollur,"₹ 13,748/sq.ft.","3,150 sq.ft. (293 sq.m.) Plot Area",(293 sq.m.) Plot Area,4 BHK5 Baths,"₹ 5.85 Cr₹ 13,748/sq.ft."
11,4 BHK Apartment in Maruthi Nagar,"₹ 6,153/sq.ft.","2,600 sq.ft. (242 sq.m.) Built-up Area",(242 sq.m.) Built-up Area,4 BHK3 Baths,"₹ 1.6 Cr₹ 6,153/sq.ft."
12,3 Bedroom House in Mokila,"₹ 11,041/sq.ft.","2,400 sq.ft. (223 sq.m.) Built-up Area",(223 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 2.65 Cr₹ 11,041/sq.ft."
13,2 BHK Apartment in HMT Swarnapuri Colony,"₹ 5,200/sq.ft.","1,190 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 61.88 L₹ 5,200/sq.ft."
14,2 BHK Apartment in Rajeev Nagar,"₹ 5,151/sq.ft.","1,650 sq.ft. (153 sq.m.) Super built-up Area",(153 sq.m.) Super built-up Area,2 BHK3 Baths,"₹ 85 L₹ 5,151/sq.ft."
15,3 BHK Apartment in Gachibowli,"₹ 10,163/sq.ft.","3,050 sq.ft. (283 sq.m.) Super built-up Area",(283 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 3.1 Cr₹ 10,163/sq.ft."
16,Residential land / Plot in Mansanpally,"₹ 2,000/sq.ft.","4,500 sq.ft. (418 sq.m.) Plot Area",(418 sq.m.) Plot Area,,"₹ 90 L₹ 2,000/sq.ft."
17,3 BHK Apartment in Kapra,"₹ 6,428/sq.ft.","1,400 sq.ft. (130 sq.m.) Carpet Area",(130 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 90 L₹ 6,428/sq.ft."
18,3 BHK Apartment in Narayanguda,"₹ 8,437/sq.ft.","1,600 sq.ft. (149 sq.m.) Super built-up Area",(149 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.35 Cr₹ 8,437/sq.ft."
19,3 Bedroom Farm house in Moinabad,"₹ 1,607/sq.ft.","21,780 sq.ft. (2023 sq.m.) Plot Area",(2023 sq.m.) Plot Area,3 BHK5 Baths,"₹ 3.5 Cr₹ 1,607/sq.ft."
20,3 BHK Apartment in Ranga Reddy,"₹ 1,610/sq.ft.","7,452 sq.ft. (692 sq.m.) Built-up Area",(692 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 1.2 Cr₹ 1,610/sq.ft."
21,Residential land / Plot in Bachupally,"₹ 6,444/sq.ft.","4,500 sq.ft. (418 sq.m.) Plot Area",(418 sq.m.) Plot Area,,"₹ 2.9 Cr₹ 6,444/sq.ft."
22,3 Bedroom House in Patancheru,"₹ 8,673/sq.ft.","1,960 sq.ft. (182 sq.m.) Plot Area",(182 sq.m.) Plot Area,3 BHK3 Baths,"₹ 1.7 Cr₹ 8,673/sq.ft."
23,3 BHK Apartment in Hi Tech City,"₹ 9,500/sq.ft.","1,600 sq.ft. (149 sq.m.) Carpet Area",(149 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.52 Cr₹ 9,500/sq.ft."
24,2 Bedroom House in Aminpur,"₹ 65,333/sq.ft.",150 sq.ft. (14 sq.m.) Plot Area,(14 sq.m.) Plot Area,2 BHK2 Baths,"₹ 98 L₹ 65,333/sq.ft."
25,4 Bedroom House in Nadargul,"₹ 7,556/sq.ft.","1,800 sq.ft. (167 sq.m.) Plot Area",(167 sq.m.) Plot Area,4 BHK6 Baths,"₹ 1.36 Cr₹ 7,556/sq.ft."
26,Residential land / Plot in Shahbad,"₹ 2,556/sq.ft.","4,500 sq.ft. (418 sq.m.) Plot Area",(418 sq.m.) Plot Area,,"₹ 1.15 Cr₹ 2,556/sq.ft."
27,3 BHK Apartment in Manikonda,"₹ 7,874/sq.ft.","2,032 sq.ft. (189 sq.m.) Super built-up Area",(189 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.6 Cr₹ 7,874/sq.ft."
28,Residential land / Plot in Turkapally,"₹ 40,000/sq.ft.",140 sq.ft. (13 sq.m.) Plot Area,(13 sq.m.) Plot Area,,"₹ 56 L₹ 40,000/sq.ft."
29,2 BHK Apartment in LB Nagar,"₹ 5,527/sq.ft.",995 sq.ft. (92 sq.m.) Carpet Area,(92 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 55 L₹ 5,527/sq.ft."
30,2 BHK Apartment in Kondapur,"₹ 7,400/sq.ft.","1,364 sq.ft. (127 sq.m.) Carpet Area",(127 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.1 Cr₹ 7,400/sq.ft."
31,3 Bedroom House in Patancheru,"₹ 10,222/sq.ft.","2,739 sq.ft. (254 sq.m.) Built-up Area",(254 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 2.8 Cr₹ 10,222/sq.ft."
32,2 BHK Apartment in Moazzamjahi Market,"₹ 4,500/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 45 L₹ 4,500/sq.ft."
33,2 BHK Apartment in Banjara hills,"₹ 11,705/sq.ft.",850 sq.ft. (79 sq.m.) Carpet Area,(79 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 99.5 L₹ 11,705/sq.ft."
34,3 BHK Apartment in Durgabai Deshmukh Colony,"₹ 5,652/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 65 L₹ 5,652/sq.ft."
35,2 BHK Apartment in Narapally,"₹ 4,705/sq.ft.",797 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 37.5 L₹ 4,705/sq.ft."
36,4 Bedroom House in Moula Ali,"₹ 6,145/sq.ft.","4,800 sq.ft. (446 sq.m.) Carpet Area",(446 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 2.95 Cr₹ 6,145/sq.ft."
37,4 Bedroom House in Vivekananda Nagar,"₹ 20,370/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",(251 sq.m.) Plot Area,4 BHK4 Baths,"₹ 5.5 Cr₹ 20,370/sq.ft."
38,2 BHK Apartment in Musheerabad,"₹ 5,807/sq.ft.",947 sq.ft. (88 sq.m.) Super built-up Area,(88 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 50 L₹ 5,807/sq.ft."
39,3 BHK Apartment in Nallagandla,"₹ 7,488/sq.ft.","1,549 sq.ft. (144 sq.m.) Super built-up Area",(144 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.2 Cr₹ 7,488/sq.ft."
40,5 Bedroom House in RN Reddy Colony,"₹ 14,620/sq.ft.","1,197 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,5 BHK6 Baths,"₹ 1.75 Cr₹ 14,620/sq.ft."
