,location,price_per_sqft,total_sqft,builtup_area,bhk,price
0,3 BHK Apartment in Sector 17 Nerul,"₹ 17,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Carpet Area",(139 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.6 Cr₹ 17,333/sq.ft."
1,2 BHK Apartment in Kalamboli,"₹ 11,111/sq.ft.",630 sq.ft. (59 sq.m.) Carpet Area,(59 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 11,111/sq.ft."
2,"1 BHK Apartment in Vichumbe, New Panvel","₹ 6,412/sq.ft.",655 sq.ft. (61 sq.m.) Built-up Area,(61 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 42 L₹ 6,412/sq.ft."
3,2 BHK Apartment in Koperkhairane,"₹ 13,333/sq.ft.",960 sq.ft. (89 sq.m.) Built-up Area,(89 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 1.28 Cr₹ 13,333/sq.ft."
4,2 BHK Apartment in Sector 16 Vashi,"₹ 20,454/sq.ft.","1,260 sq.ft. (117 sq.m.) Built-up Area",(117 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 2.25 Cr₹ 20,454/sq.ft."
5,3 BHK Apartment in Sector 17 Nerul,"₹ 17,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Carpet Area",(139 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.6 Cr₹ 17,333/sq.ft."
6,3 BHK Apartment in Sector 15 Kharghar,"₹ 11,875/sq.ft.","1,600 sq.ft. (149 sq.m.) Super built-up Area",(149 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.9 Cr₹ 11,875/sq.ft."
7,2 BHK Apartment in Kharghar,"₹ 10,952/sq.ft.","1,050 sq.ft. (98 sq.m.) Carpet Area",(98 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.15 Cr₹ 10,952/sq.ft."
8,1 BHK Apartment in Roadpali,"₹ 7,654/sq.ft.",810 sq.ft. (75 sq.m.) Super built-up Area,(75 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 62 L₹ 7,654/sq.ft."
9,2 BHK Apartment in Koperkhairane,"₹ 18,547/sq.ft.",647 sq.ft. (60 sq.m.) Carpet Area,(60 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.2 Cr₹ 18,547/sq.ft."
10,1 BHK Apartment in New Panvel,"₹ 5,454/sq.ft.",550 sq.ft. (51 sq.m.) Super built-up Area,(51 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 30 L₹ 5,454/sq.ft."
11,1 BHK Apartment in Sector 21 Nerul,"₹ 14,358/sq.ft.",585 sq.ft. (54 sq.m.) Super built-up Area,(54 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 84 L₹ 14,358/sq.ft."
12,2 BHK Apartment in Sector 19 Ulwe,"₹ 9,687/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 77.5 L₹ 9,687/sq.ft."
13,2 BHK Apartment in Koperkhairane,"₹ 13,541/sq.ft.",960 sq.ft. (89 sq.m.) Built-up Area,(89 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 1.3 Cr₹ 13,541/sq.ft."
14,3 BHK Apartment in Sector 35E Kharghar,"₹ 15,217/sq.ft.","1,685 sq.ft. (157 sq.m.) Super built-up Area",(157 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.75 Cr₹ 15,217/sq.ft."
15,Residential land / Plot in Chirle,₹ 367/sq.ft.,"1,089 sq.ft. (101 sq.m.) Plot Area",(101 sq.m.) Plot Area,,₹ 4 L₹ 367/sq.ft.
16,2 BHK Apartment in Panvel,"₹ 6,987/sq.ft.",830 sq.ft. (77 sq.m.) Super built-up Area,(77 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 58 L₹ 6,987/sq.ft."
